observation_date,PCRUDEOIL,CRUDEOIL,FCRUDEOIL
9/10/2018,66.32263775,76.77,78.32263775
9/7/2018,66.65214063,75.55,78.65214063
9/6/2018,67.42633634,75.67,79.42633634
9/5/2018,68.40735699,76.68,80.40735699
9/4/2018,67.98826677,77.51,79.98826677
8/31/2018,68.16065783,76.94,80.16065783
8/30/2018,66.84325212,77.05,78.84325212
8/29/2018,66.98442005,76.07,78.98442005
8/28/2018,65.64574516,75.91,77.64574516
8/24/2018,64.69238547,74.41,76.69238547
8/23/2018,64.17638146,73.73,76.17638146
8/22/2018,63.11190159,72.96,75.11190159
8/21/2018,62.70205003,71.65,74.70205003
8/20/2018,61.70981736,71.11,73.70981736
8/17/2018,60.77227502,70.14,72.77227502
8/16/2018,60.35336888,69.21,72.35336888
8/15/2018,62.60111346,68.38,74.60111346
8/14/2018,62.28338124,70.77,74.28338124
8/13/2018,62.02252852,70.62,74.02252852
8/10/2018,62.14850203,71,74.14850203
8/9/2018,62.60687151,70.55,74.60687151
8/8/2018,63.10560028,70.71,75.10560028
8/7/2018,63.74461551,72.31,75.74461551
8/6/2018,63.9735286,72.51,75.9735286
8/3/2018,64.13921674,72.48,76.13921674
8/2/2018,63.53642541,72.95,75.53642541
8/1/2018,65.05726253,72.28,77.05726253
7/31/2018,66.57317917,74.16,78.57317917
7/30/2018,65.78486554,74.99,77.78486554
7/27/2018,65.67011993,74.84,77.67011993
7/26/2018,64.98896216,74.51,76.98896216
7/25/2018,65.51660274,73.67,77.51660274
7/24/2018,64.7411844,73.53,76.7411844
7/23/2018,63.22442953,73.45,75.22442953
7/20/2018,63.49892947,71.99,75.49892947
7/19/2018,62.16010439,71.94,74.16010439
7/18/2018,62.29242061,70.52,74.29242061
7/17/2018,62.09653441,70.87,74.09653441
7/16/2018,65.11518249,71.03,77.11518249
7/13/2018,63.4670249,74.11,75.4670249
7/12/2018,66.35745871,72.11,78.35745871
7/11/2018,68.19496581,75.35,80.19496581
7/10/2018,67.76235824,77.8,79.76235824
7/9/2018,66.16805955,77.08,78.16805955
7/6/2018,67.39592096,74.98,79.39592096
7/5/2018,66.69254658,77.09,78.69254658
7/3/2018,67.36780558,75.87,79.36780558
7/2/2018,68.04394641,76.71,80.04394641
6/29/2018,67.24773397,77.44,79.24773397
6/28/2018,67.06300861,76.26,79.06300861
6/27/2018,65.20744552,76.09,77.20744552
6/26/2018,64.09707263,73.58,76.09707263
6/25/2018,64.32849597,72.82,76.32849597
6/22/2018,64.22330393,73.67,76.22330393
